carrier,lat,lon
La Poste,46.025395,4.086489
La Poste,45.744731,4.224837
La Poste,45.604259,4.067881
La Poste,45.529796,4.620957
La Poste,46.040596,4.072411
La Poste,48.613393,2.374836
La Poste,43.549388,5.193713
La Poste,43.773396,7.496391
La Poste,43.703499,7.260807
La Poste,45.480594,4.433063
La Poste,45.417395,4.393664
La Poste,45.295114,3.381205
La Poste,45.042297,3.889291
La Poste,43.665696,7.193614
La Poste,47.296292,-1.552811
La Poste,47.719492,-1.378911
La Poste,47.3303667,-2.4247136
La Poste,47.218197,-1.559152
La Poste,47.253196,-1.596612
La Poste,47.275398,-2.213456
La Poste,47.207492,-1.50536
La Poste,47.167999,-1.471438
La Poste,43.5793,7.054
La Poste,47.225796,-1.529798
La Poste,47.219993,-1.555832
La Poste,47.189297,-1.550786
La Poste,47.235197,-1.58295
La Poste,47.241698,-1.532323
La Poste,47.927822,1.916869
La Poste,47.6844169,2.62937022
La Poste,48.000197,2.732467
La Poste,47.865192,1.90197
La Poste,48.171199,2.254822
La Poste,47.911895,1.96756
La Poste,43.725693,7.256604
La Poste,47.887065,1.907125
La Poste,47.9066481,1.90611341
La Poste,47.9115201,1.92848243
La Poste,43.567814,6.966615
La Poste,43.662897,7.150468
La Poste,43.709796,7.263748
La Poste,46.3326875,6.05849505
La Poste,43.553094,7.020459
La Poste,47.050296,-0.868937
La Poste,47.469793,-0.552077
La Poste,49.116847,-1.0896088
La Poste,43.570426,7.111339
La Poste,43.704296,7.285407
La Poste,43.70236,7.265848
La Poste,43.716692,7.257068
La Poste,43.700784,7.274153
La Poste,43.555393,7.022678
La Poste,43.689793,7.241366
La Poste,49.043498,3.954458
La Poste,43.696699,7.254286
La Poste,49.2522,4.0257
La Poste,49.250191,3.992064
La Poste,49.255698,4.034677
La Poste,48.637491,4.949578
La Poste,49.158896,5.878025
La Poste,48.590518,6.495993
La Poste,48.9038,6.050087
La Poste,48.702395,6.213268
La Poste,48.674972,5.895504
La Poste,48.661896,6.176519
La Poste,48.672693,6.154556
La Poste,49.522623,5.762762
La Poste,47.93355,-2.398935
La Poste,47.655897,-2.760202
La Poste,49.187884,6.89991
La Poste,49.253851,6.164782
La Poste,49.210695,6.159909
La Poste,49.100592,6.15443
La Poste,49.10333,6.708955
La Poste,49.112695,7.064441
La Poste,49.3567,6.1654
La Poste,49.109788,6.218954
La Poste,47.410386,2.923145
La Poste,44.733697,4.597816
La Poste,46.990193,3.158428
La Poste,50.624796,3.147205
La Poste,50.370596,3.503181
La Poste,50.687495,2.881966
La Poste,50.1717572,3.23284976
La Poste,50.1236,3.408577
La Poste,50.325361,3.39462
La Poste,50.368397,3.08492
La Poste,51.035174,2.381643
La Poste,50.730593,3.158829
La Poste,51.0150293,2.30286832
La Poste,50.782493,3.126156
La Poste,50.610896,2.983469
La Poste,50.725194,2.538937
La Poste,50.6265766,3.10661575
La Poste,50.650492,3.028228
La Poste,50.630994,3.060566
La Poste,50.653697,3.06977
La Poste,50.673597,3.09156
La Poste,50.278285,3.972291
La Poste,50.642399,3.107539
La Poste,50.605111,3.077188
La Poste,50.6905,3.176018
La Poste,50.447393,3.429935
La Poste,51.027169,2.34022745
La Poste,50.359388,3.523184
La Poste,50.700494,3.214659
La Poste,50.6364219,3.06577158
La Poste,50.6240982,3.06779685
La Poste,50.6444185,3.06108222
La Poste,49.432391,2.0844
La Poste,49.191615,2.463794
La Poste,49.414181,2.821812
La Poste,49.236128,2.888478
La Poste,49.155292,2.441018
La Poste,49.234575,2.134312
La Poste,45.904725,5.192328
La Poste,49.579598,3.00175
La Poste,49.203752,2.586028
La Poste,48.76476,0.624713
La Poste,50.287995,2.778083
La Poste,50.408694,2.83112
La Poste,50.5321,2.641797
La Poste,50.722699,1.6022
La Poste,50.4827664,2.54572491
La Poste,50.945399,1.853844
La Poste,50.489896,2.954149
La Poste,50.429494,2.834726
La Poste,50.422797,2.779897
La Poste,50.751164,2.260161
La Poste,50.383432,2.336479
La Poste,50.958799,1.852706
La Poste,45.773991,3.061917
La Poste,45.545099,3.251088
La Poste,45.847282,3.532232
La Poste,45.7933,3.079728
La Poste,49.507909,4.36509
La Poste,43.482593,-1.515856
La Poste,43.499174,-1.491716
La Poste,43.480897,-1.560301
La Poste,43.388495,-1.658832
La Poste,49.773182,4.718498
La Poste,42.772696,2.987065
La Poste,42.684098,2.901973
La Poste,48.582693,7.741798
La Poste,48.407564,7.454491
La Poste,48.420889,7.663621
La Poste,48.812694,7.790129
La Poste,48.527605,7.709147
La Poste,48.558594,7.686618
La Poste,46.260146,5.647735
La Poste,48.539404,7.493807
La Poste,48.4613,7.482963
La Poste,48.258499,7.45378
La Poste,49.033997,7.944877
La Poste,48.586892,7.749093
La Poste,48.576095,7.752886
La Poste,48.578895,7.710647
La Poste,48.549093,7.748478
La Poste,48.566493,7.758703
La Poste,48.566988,7.77258
La Poste,48.592097,7.695507
La Poste,47.781161,7.348644
La Poste,47.743898,7.365747
La Poste,47.586501,7.564648
La Poste,48.080293,7.360709
La Poste,47.748298,7.307999
La Poste,47.750693,7.341924
La Poste,46.109098,4.749919
La Poste,45.7354,4.909066
La Poste,45.797893,4.844872
La Poste,45.745896,4.724374
La Poste,45.775896,4.778638
La Poste,45.587296,4.770959
La Poste,45.756098,4.833669
La Poste,45.7157231,4.80984772
La Poste,45.710402,4.855148
La Poste,45.697198,4.794416
La Poste,45.8952,4.435338
La Poste,45.778,4.9196
La Poste,45.698698,4.884877
La Poste,45.988298,4.715778
La Poste,45.768391,4.955851
La Poste,45.816793,4.90199
La Poste,45.694593,4.937055
La Poste,45.759434,4.888891
La Poste,45.771097,4.848447
La Poste,45.774695,4.833227
La Poste,45.750797,4.845348
La Poste,45.743792,4.870278
La Poste,45.749799,4.886845
La Poste,45.730595,4.829749
La Poste,45.758192,4.84472
La Poste,45.773896,4.806668
La Poste,45.757791,4.862577
La Poste,45.770698,4.866231
La Poste,45.765296,4.898856
La Poste,45.756094,4.802075
La Poste,45.727795,4.863179
La Poste,45.7865168,4.79595713
La Poste,45.780794,4.88468
La Poste,45.696299,4.87318
La Poste,47.574599,6.755778
La Poste,47.618187,6.154333
La Poste,46.795579,4.854132
La Poste,46.6281426,5.22226765
La Poste,46.673702,4.362739
La Poste,48.187111,0.653561
La Poste,47.697594,-0.073959
La Poste,48.003462,0.197059
La Poste,47.9726141,0.22087
La Poste,45.6906,5.9127
La Poste,45.675892,6.392098
La Poste,45.570094,5.917289
La Poste,45.899985,6.123032
La Poste,45.914511,6.14461659
La Poste,46.1874,6.243027
La Poste,45.923054,6.869793
La Poste,46.0599,6.579547
La Poste,46.189,6.2097
La Poste,45.867829,5.943578
La Poste,46.143639,6.080648
La Poste,45.936998,6.630738
La Poste,45.8872632,6.10133572
La Poste,46.369893,6.47858
La Poste,48.283792,4.052079
La Poste,45.914196,6.123626
La Poste,46.194894,6.233667
La Poste,48.883316,2.381167
La Poste,48.835237,2.326145
La Poste,48.859491,2.37913
La Poste,48.891062,2.319245
La Poste,48.294594,4.077109
La Poste,48.870819,2.378043
La Poste,48.846843,2.381494
La Poste,48.825196,2.375346
La Poste,48.836792,2.39285
La Poste,48.8949,2.34477
La Poste,48.893497,2.351067
La Poste,48.829845,2.378734
La Poste,48.8646,2.343
La Poste,48.841595,2.350399
La Poste,48.847994,2.319897
La Poste,48.873193,2.313689
La Poste,48.857769,2.374186
La Poste,48.846492,2.387209
La Poste,48.82864,2.356611
La Poste,48.8369,2.297
La Poste,48.856796,2.275938
La Poste,48.883391,2.302115
La Poste,48.892293,2.341798
La Poste,48.884404,2.390347
La Poste,48.868498,2.39569
La Poste,48.876898,2.335556
La Poste,48.852227,2.340642
La Poste,48.847612,2.352691
La Poste,48.845994,2.374149
La Poste,48.8792,2.3142
La Poste,48.874196,2.373829
